ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,INDIRIZZO,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale,geo_x,geo_y
5117,BS,17165,RONCADELLE,DECATHLON ITALIA S.R.L.,"Via Mattei, 33/35",A,0,3700,3700,45.531524927,10.1541162318
13318,CR,19025,CASTELLEONE,SUPERMERCATI EUROPA SPA,Via Bressanoro 73,,1500,1950,3450,45.3019984676,9.7657914466
10811,VA,12070,GALLARATE,SSC.SRL,Viale Milano 163,A,4981,3098,8079,45.6447280603,8.8195196989
3226,MI,15093,CORSICO,DECATHLON ITALIA SRL,Via Dell'Industria,D,50,4350,4400,45.4319348611,9.0805890589
8192,MI,15146,MILANO,CAPROTTI GIUSEPPE,"Via C.Isotta, 7",,2900,0,2900,45.4206609397,9.1776932252
12022,CO,13242,VERTEMATE CON MINOPRIO,PIODARREDA DI R.B.,"Via Per Bulgorello, 1",,0,2300,2300,45.724535981,9.0649424392
630,BS,17029,BRESCIA,SMA SPA,"Via San Zeno, 76",,1100,1472,2572,45.5266077513,10.2205778879
469,MI,15201,SAN VITTORE OLONA,COIN EX RINASCENTE,"S.S. Sempione, 9/11",,1432,2870,4302,45.5916874666,8.9370721467
14724,MB,108033,MONZA,LA RINASCENTE SRL,Via Italia 41,,30,3770,3800,45.5813355078,9.2735191689
13497,MN,20021,CURTATONE,SUPERMERCATI TOSANO DI CEREA,Via Parri,,2800,700,3500,45.1303622168,10.7422965318
14382,MI,15195,SAN GIULIANO MILANESE,EUFENTE SPA,Via Po,D,0,5500,5500,45.3915453066,9.2594398444
13340,BS,17029,BRESCIA,NUOVI ASSETTI URBANI SPA,"Comparto A) Sannazzaro  (Area Ex Magazzini Generali) - Area Ricompresa Fra La Via Dalmazia, Via Salgari, Via Corsica E Via Don Bosco",,4100,7500,11600,45.5276694556,10.2001802066
9817,BS,17127,OSPITALETTO,ITALMARK SPA,Via Padana Superiore,,2700,5502,8202,45.5555387651,10.0901268325
5380,CO,13128,LIMIDO COMASCO,ORCHIDEA SAS DI BIANCHI A. & C.,Via Marconi 56,C,0,1970,1970,45.6947683917,8.9781512722
7852,VA,12083,INDUNO OLONA,ESSELUNGA SPA,"Via Ronchetti, 20",,2250,1750,4000,45.8464544741,8.8408891553
3010,MB,108019,CESANO MADERNO,RIALTO SRL,Corso Liberta' Angolo Monteverdi,,1900,850,2750,45.6263562041,9.1409032627
